Date,Shipments Index,Expenditures Index
2020-03-01,1.087,2.651
2020-02-01,1.085,2.679
2020-01-01,1.022,2.568
2019-12-01,1.052,2.723
2019-11-01,1.124,2.81
2019-10-31,1.152,2.8
2019-10-01,1.152,2.8
2019-09-30,1.199,2.854
2019-09-01,1.199,2.854
2019-08-31,1.19,2.84
2019-08-01,1.19,2.84
2019-07-31,1.171,2.861
2019-07-01,1.171,2.861
2019-06-30,1.181,2.919
2019-06-01,1.181,2.919
2019-05-31,1.228,2.845
2019-05-01,1.228,2.845
2019-04-30,1.194,2.909
2019-04-01,1.194,2.909
2019-03-31,1.197,2.889
2019-03-01,1.197,2.889
2019-02-28,1.173,2.874
2019-02-01,1.173,2.874
2019-01-31,1.128,2.792
2019-01-01,1.128,2.792
2018-12-31,1.142,2.903
2018-12-01,1.142,2.903
2018-11-30,1.162,2.849
2018-11-28,1.162,2.849
2018-11-01,1.162,2.849
2018-10-31,1.224,2.919
2018-10-28,1.224,2.919
2018-10-01,1.224,2.919
2018-09-30,1.241,2.99
2018-09-28,1.241,2.99
2018-09-01,1.241,2.99
2018-08-31,1.227,2.917
2018-08-28,1.227,2.917
2018-08-01,1.227,2.917
2018-07-31,1.245,2.901
2018-07-28,1.245,2.901
2018-07-01,1.245,2.901
2018-06-30,1.247,2.894
2018-06-28,1.247,2.894
2018-06-01,1.247,2.894
2018-05-31,1.307,2.875
2018-05-28,1.307,2.875
2018-05-01,1.307,2.875
2018-04-30,1.234,2.74
2018-04-28,1.234,2.74
2018-04-01,1.234,2.74
2018-03-31,1.209,2.723
2018-03-28,1.209,2.723
2018-03-01,1.209,2.723
2018-02-28,1.198,2.724
2018-02-01,1.198,2.724
2018-01-31,1.131,2.59
2018-01-28,1.131,2.59
2018-01-01,1.131,2.59
2017-12-31,1.151,2.638
2017-12-28,1.151,2.638
2017-12-01,1.151,2.638
2017-11-30,1.155,2.629
2017-11-28,1.155,2.629
2017-11-01,1.155,2.629
2017-10-31,1.153,2.606
2017-10-28,1.153,2.606
2017-10-01,1.153,2.606
2017-09-30,1.147,2.507
2017-09-28,1.147,2.507
2017-09-01,1.147,2.507
2017-08-31,1.158,2.499
2017-08-28,1.158,2.499
2017-08-01,1.158,2.499
2017-07-31,1.126,2.46
2017-07-28,1.126,2.46
2017-07-01,1.126,2.46
2017-06-30,1.163,2.497
2017-06-28,1.163,2.497
2017-06-01,1.163,2.497
2017-05-31,1.168,2.451
2017-05-28,1.168,2.451
2017-05-01,1.168,2.451
2017-04-30,1.12,2.429
2017-04-28,1.12,2.429
2017-04-01,1.12,2.429
2017-03-31,1.08,2.355
2017-03-28,1.08,2.355
2017-03-01,1.08,2.355
2017-02-28,1.075,2.383
2017-02-01,1.075,2.383
2017-01-31,1.005,2.268
2017-01-28,1.005,2.268
2017-01-01,1.005,2.268
2016-12-31,1.074,2.274
2016-12-28,1.074,2.274
2016-12-01,1.074,2.274
2016-11-30,1.087,2.3
2016-11-28,1.087,2.3
2016-11-01,1.087,2.3
2016-10-31,1.121,2.343
2016-10-28,1.121,2.343
2016-10-01,1.121,2.343
2016-09-30,1.111,2.396
2016-09-28,1.111,2.396
2016-09-01,1.111,2.396
2016-08-31,1.115,2.278
2016-08-28,1.115,2.278
2016-08-01,1.115,2.278
2016-07-31,1.111,2.355
2016-07-28,1.111,2.355
2016-07-01,1.111,2.355
2016-06-30,1.11,2.37
2016-06-28,1.11,2.37
2016-06-01,1.11,2.37
2016-05-31,1.091,2.282
2016-05-28,1.091,2.282
2016-05-01,1.091,2.282
2016-04-30,1.077,2.292
2016-04-28,1.077,2.292
2016-04-01,1.077,2.292
2016-03-31,1.07,2.287
2016-03-28,1.07,2.287
2016-03-01,1.07,2.287
2016-02-29,1.055,2.31
2016-02-28,1.055,2.31
2016-02-01,1.055,2.31
2016-01-31,0.974,2.174
2016-01-28,0.974,2.174
2016-01-01,0.974,2.174
2015-12-31,1.038,2.345
2015-12-28,1.038,2.345
2015-12-01,1.038,2.345
2015-11-30,1.092,2.409
2015-11-28,1.092,2.409
2015-11-01,1.092,2.409
2015-10-31,1.092,2.435
2015-10-28,1.092,2.435
2015-10-01,1.092,2.435
2015-09-30,1.146,2.49
2015-09-28,1.146,2.49
2015-09-01,1.146,2.49
2015-08-31,1.127,2.432
2015-08-28,1.127,2.432
2015-08-01,1.127,2.432
2015-07-31,1.141,2.482
2015-07-28,1.141,2.482
2015-07-01,1.141,2.482
2015-06-30,1.16,2.599
2015-06-28,1.16,2.599
2015-06-01,1.16,2.599
2015-05-31,1.158,2.537
2015-05-28,1.158,2.537
2015-05-01,1.158,2.537
2015-04-30,1.132,2.499
2015-04-28,1.132,2.499
2015-04-01,1.132,2.499
2015-03-31,1.086,2.459
2015-03-28,1.086,2.459
2015-03-01,1.086,2.459
2015-02-28,1.083,2.434
2015-02-01,1.083,2.434
2015-01-31,1.027,2.333
2015-01-28,1.027,2.333
2015-01-01,1.027,2.333
2014-12-31,1.078,2.473
2014-12-28,1.078,2.473
2014-12-01,1.078,2.473
2014-11-30,1.151,2.65
2014-11-28,1.151,2.65
2014-11-01,1.151,2.65
2014-10-31,1.153,2.668
2014-10-28,1.153,2.668
2014-10-01,1.153,2.668
2014-09-30,1.164,2.666
2014-09-28,1.164,2.666
2014-09-01,1.164,2.666
2014-08-31,1.181,2.644
2014-08-28,1.181,2.644
2014-08-01,1.181,2.644
2014-07-31,1.154,2.651
2014-07-28,1.154,2.651
2014-07-01,1.154,2.651
2014-06-30,1.201,2.76
2014-06-28,1.201,2.76
2014-06-01,1.201,2.76
2014-05-31,1.173,2.649
2014-05-28,1.173,2.649
2014-05-01,1.173,2.649
2014-04-30,1.161,2.621
2014-04-28,1.161,2.621
2014-04-01,1.161,2.621
2014-03-31,1.144,2.549
2014-03-28,1.144,2.549
2014-03-01,1.144,2.549
2014-02-28,1.073,2.419
2014-02-01,1.073,2.419
2014-01-31,1.0,2.265
2014-01-28,1.0,2.265
2014-01-01,1.0,2.265
2013-12-31,1.037,2.387
2013-12-28,1.037,2.387
2013-12-01,1.037,2.387
2013-11-30,1.105,2.524
2013-11-28,1.105,2.524
2013-11-01,1.105,2.524
2013-10-31,1.116,2.508
2013-10-28,1.116,2.508
2013-10-01,1.116,2.508
2013-09-30,1.156,2.575
2013-09-28,1.156,2.575
2013-09-01,1.156,2.575
2013-08-31,1.126,2.448
2013-08-28,1.126,2.448
2013-08-01,1.126,2.448
2013-07-31,1.107,2.484
2013-07-28,1.107,2.484
2013-07-01,1.107,2.484
2013-06-30,1.133,2.463
2013-06-28,1.133,2.463
2013-06-01,1.133,2.463
2013-05-31,1.132,2.383
2013-05-28,1.132,2.383
2013-05-01,1.132,2.383
2013-04-30,1.1,2.382
2013-04-28,1.1,2.382
2013-04-01,1.1,2.382
2013-03-31,1.14,2.42
2013-03-28,1.14,2.42
2013-03-01,1.14,2.42
2013-02-28,1.077,2.273
2013-02-01,1.077,2.273
2013-01-31,1.02,2.233
2013-01-28,1.02,2.233
2013-01-01,1.02,2.233
2012-12-31,1.071,2.364
2012-12-28,1.071,2.364
2012-12-01,1.071,2.364
2012-11-30,1.093,2.342
2012-11-28,1.093,2.342
2012-11-01,1.093,2.342
2012-10-31,1.139,2.487
2012-10-28,1.139,2.487
2012-10-01,1.139,2.487
2012-09-30,1.155,2.447
2012-09-28,1.155,2.447
2012-09-01,1.155,2.447
2012-08-31,1.13,2.368
2012-08-28,1.13,2.368
2012-08-01,1.13,2.368
2012-07-31,1.142,2.394
2012-07-28,1.142,2.394
2012-07-01,1.142,2.394
2012-06-30,1.15,2.444
2012-06-28,1.15,2.444
2012-06-01,1.15,2.444
2012-05-31,1.135,2.447
2012-05-28,1.135,2.447
2012-05-01,1.135,2.447
2012-04-30,1.115,2.395
2012-04-28,1.115,2.395
2012-04-01,1.115,2.395
2012-03-31,1.094,2.317
2012-03-28,1.094,2.317
2012-03-01,1.094,2.317
2012-02-29,1.072,2.295
2012-02-28,1.072,2.295
2012-02-01,1.072,2.295
2012-01-31,1.046,2.269
2012-01-28,1.046,2.269
2012-01-01,1.046,2.269
2011-12-31,1.056,2.272
2011-12-28,1.056,2.272
2011-12-01,1.056,2.272
2011-11-30,1.056,2.268
2011-11-28,1.056,2.268
2011-11-01,1.056,2.268
2011-10-31,1.081,2.295
2011-10-28,1.081,2.295
2011-10-01,1.081,2.295
2011-09-30,1.2,2.338
2011-09-28,1.2,2.338
2011-09-01,1.2,2.338
2011-08-31,1.143,2.282
2011-08-28,1.143,2.282
2011-08-01,1.143,2.282
2011-07-31,1.122,2.373
2011-07-28,1.122,2.373
2011-07-01,1.122,2.373
2011-06-30,1.165,2.423
2011-06-28,1.165,2.423
2011-06-01,1.165,2.423
2011-05-31,1.111,2.317
2011-05-28,1.111,2.317
2011-05-01,1.111,2.317
2011-04-30,1.113,2.279
2011-04-28,1.113,2.279
2011-04-01,1.113,2.279
2011-03-31,1.108,2.222
2011-03-28,1.108,2.222
2011-03-01,1.108,2.222
2011-02-28,1.036,2.091
2011-02-01,1.036,2.091
2011-01-31,1.01,1.859
2011-01-28,1.01,1.859
2011-01-01,1.01,1.859
2010-12-31,1.049,1.912
2010-12-28,1.049,1.912
2010-12-01,1.049,1.912
2010-11-30,1.088,1.989
2010-11-28,1.088,1.989
2010-11-01,1.088,1.989
2010-10-31,1.058,1.976
2010-10-28,1.058,1.976
2010-10-01,1.058,1.976
2010-09-30,1.116,2.031
2010-09-28,1.116,2.031
2010-09-01,1.116,2.031
2010-08-31,1.095,1.971
2010-08-28,1.095,1.971
2010-08-01,1.095,1.971
2010-07-31,1.011,1.832
2010-07-28,1.011,1.832
2010-07-01,1.011,1.832
2010-06-30,1.106,1.919
2010-06-28,1.106,1.919
2010-06-01,1.106,1.919
2010-05-31,1.014,1.784
2010-05-28,1.014,1.784
2010-05-01,1.014,1.784
2010-04-30,0.991,1.689
2010-04-28,0.991,1.689
2010-04-01,0.991,1.689
2010-03-31,0.974,1.663
2010-03-28,0.974,1.663
