Date,MBS Total PAR Value,MBS Weighted Average,Treasury Total PAR Value,Treasury Weighted Average
04/24/2019,83750000000,  2.499,66900000000,  2.490 
04/25/2019,95630000000,  2.506,51900000000,  2.512 
04/26/2019,64900000000,  2.542,33680000000,  2.519 
04/29/2019,91050000000,  2.557,42400000000,  2.534 
04/30/2019,77650000000,  2.915,60500000000,  2.807 
05/01/2019,79150000000,  2.603,43300000000,  2.602 
05/02/2019,82000000000,  2.560,49350000000,  2.534 
05/03/2019,103550000000,  2.501,34700000000,  2.470 
05/06/2019,107040000000,  2.481,55200000000,  2.464 
05/07/2019,94200000000,  2.510,41600000000,  2.492 
05/08/2019,73000000000,  2.490,68600000000,  2.473 
05/09/2019,77250000000,  2.469,45000000000,  2.449 
05/10/2019,86850000000,  2.458,70000000000,  2.445 
05/13/2019,110500000000,  2.442,58050000000,  2.433 
05/14/2019,96300000000,  2.471,57250000000,  2.456 
05/15/2019,72850000000,  2.557,54800000000,  2.533 
05/16/2019,76500000000,  2.501,52900000000,  2.487 
05/17/2019,64950000000,  2.465,63500000000,  2.462 
05/20/2019,76600000000,  2.447,75300000000,  2.433 
05/21/2019,66150000000,  2.443,64750000000,  2.434 
05/22/2019,55750000000,  2.425,51800000000,  2.413 
05/23/2019,50700000000,  2.437,53210000000,  2.429 
05/24/2019,60050000000,  2.440,72860000000,  2.425 
05/28/2019,82800000000,  2.477,64900000000,  2.456 
05/29/2019,81850000000,  2.486,78720000000,  2.460 
05/30/2019,87950000000,  2.480,50000000000,  2.445 
05/31/2019,111050000000,  2.578,99450000000,  2.552 
06/03/2019,95450000000,  2.477,74100000000,  2.459 
06/04/2019,102550000000,  2.467,47850000000,  2.450 
06/05/2019,100100000000,  2.465,76500000000,  2.455 
06/06/2019,99750000000,  2.478,65000000000,  2.462 
06/07/2019,90850000000,  2.462,57150000000,  2.444 
06/10/2019,76600000000,  2.457,84100000000,  2.444 
06/11/2019,93560000000,  2.454,47850000000,  2.437 
06/12/2019,92350000000,  2.446,53250000000,  2.422 
06/13/2019,72250000000,  2.427,50450000000,  2.409 
06/14/2019,65550000000,  2.418,64600000000,  2.408 
06/17/2019,68500000000,  2.496,68900000000,  2.493 
06/18/2019,59500000000,  2.441,56960000000,  2.435 
06/19/2019,77250000000,  2.424,51770000000,  2.410 
06/20/2019,78350000000,  2.432,43010000000,  2.441 
06/21/2019,83300000000,  2.447,47620000000,  2.419 
06/24/2019,87900000000,  2.471,59380000000,  2.467 
06/25/2019,88600000000,  2.513,57200000000,  2.448 
06/26/2019,83620000000,  2.510,63500000000,  2.464 
06/27/2019,61000000000,  2.492,64450000000,  2.466 
06/28/2019,77800000000,  2.647,59000000000,  2.588 
07/01/2019,110050000000,  2.566,60790000000,  2.870 
